"","team","season","goals","total_yel_card","total_red_card","total_scoring_att","ontarget_scoring_att","total_tackle","top5bot5","total_card"
"1","Manchester United","2006-2007",83,60,1,698,256,890,"TOP5",61
"2","Chelsea","2006-2007",64,62,4,636,216,982,"TOP5",66
"3","Liverpool","2006-2007",57,44,0,668,214,969,"TOP5",44
"4","Arsenal","2006-2007",63,59,3,638,226,998,"TOP5",62
"5","Tottenham Hotspur","2006-2007",57,48,3,520,184,995,"TOP5",51
"6","Bolton Wanderers","2006-2007",47,84,4,404,120,811,NA,88
"7","Reading","2006-2007",52,38,3,419,132,855,NA,41
"8","Blackburn Rovers","2006-2007",52,77,6,478,155,864,NA,83
"9","Everton","2006-2007",52,65,2,465,153,860,NA,67
"10","Portsmouth","2006-2007",45,48,1,525,186,948,NA,49
"11","Middlesbrough","2006-2007",44,64,2,454,144,841,NA,66
"12","West Ham United","2006-2007",35,85,2,461,134,860,NA,87
"13","Aston Villa","2006-2007",43,48,1,470,154,936,NA,49
"14","Manchester City","2006-2007",29,59,4,454,147,986,NA,63
"15","Newcastle United","2006-2007",38,65,1,454,140,965,NA,66
"16","Sheffield United","2006-2007",32,68,2,483,147,917,"BOT5",70
"17","Wigan Athletic","2006-2007",37,73,3,474,147,809,"BOT5",76
"18","Charlton Athletic","2006-2007",34,56,4,418,133,919,"BOT5",60
"19","Fulham","2006-2007",38,56,3,451,142,901,"BOT5",59
"20","Watford","2006-2007",29,45,2,418,135,744,"BOT5",47
"21","Manchester United","2007-2008",80,51,2,696,260,978,"TOP5",53
"22","Chelsea","2007-2008",65,63,5,605,199,917,"TOP5",68
"23","Arsenal","2007-2008",74,55,3,627,208,878,"TOP5",58
"24","Liverpool","2007-2008",67,45,1,686,214,1089,"TOP5",46
"25","Everton","2007-2008",55,40,3,474,169,816,"TOP5",43
"26","Aston Villa","2007-2008",71,54,4,511,182,885,NA,58
"27","Portsmouth","2007-2008",48,55,3,559,160,963,NA,58
"28","Blackburn Rovers","2007-2008",50,72,6,530,185,833,NA,78
"29","Manchester City","2007-2008",45,50,4,423,143,916,NA,54
"30","West Ham United","2007-2008",42,63,1,500,154,848,NA,64
"31","Newcastle United","2007-2008",45,63,1,481,153,876,NA,64
"32","Sunderland","2007-2008",36,65,4,483,137,892,NA,69
"33","Tottenham Hotspur","2007-2008",66,51,1,555,195,960,NA,52
"34","Middlesbrough","2007-2008",43,86,2,499,152,835,NA,88
"35","Reading","2007-2008",41,59,5,441,132,800,"BOT5",64
"36","Wigan Athletic","2007-2008",34,59,4,489,141,883,NA,63
"37","Bolton Wanderers","2007-2008",36,76,0,451,149,866,"BOT5",76
"38","Birmingham City","2007-2008",46,70,3,414,143,935,"BOT5",73
"39","Fulham","2007-2008",38,55,6,469,154,851,"BOT5",61
"40","Derby County","2007-2008",20,63,1,376,116,898,"BOT5",64
"41","Manchester United","2008-2009",68,61,5,715,230,741,"TOP5",66
"42","Chelsea","2008-2009",68,50,3,797,248,773,"TOP5",53
"43","Liverpool","2008-2009",77,50,0,736,224,927,"TOP5",50
"44","Arsenal","2008-2009",68,58,3,662,220,875,"TOP5",61
"45","Aston Villa","2008-2009",54,54,2,472,159,982,NA,56
"46","Everton","2008-2009",55,49,1,496,169,775,"TOP5",50
"47","Manchester City","2008-2009",58,49,4,572,201,939,NA,53
"48","Fulham","2008-2009",39,40,1,511,149,812,NA,41
"49","Tottenham Hotspur","2008-2009",45,54,5,544,177,781,NA,59
"50","West Ham United","2008-2009",42,66,4,515,167,896,NA,70
"51","Stoke City","2008-2009",38,73,5,364,100,688,NA,78
"52","Wigan Athletic","2008-2009",34,59,4,590,163,934,NA,63
"53","Bolton Wanderers","2008-2009",41,62,1,488,154,890,NA,63
"54","Blackburn Rovers","2008-2009",40,74,4,473,148,824,NA,78
"55","Portsmouth","2008-2009",38,58,5,500,152,922,NA,63
"56","Sunderland","2008-2009",34,69,1,473,144,888,"BOT5",70
"57","Hull City","2008-2009",39,71,3,476,149,811,"BOT5",74
"58","West Bromwich Albion","2008-2009",36,67,1,559,165,803,"BOT5",68
"59","Middlesbrough","2008-2009",28,55,3,498,140,784,"BOT5",58
"60","Newcastle United","2008-2009",40,57,8,444,125,735,"BOT5",65
"61","Chelsea","2009-2010",103,54,5,834,288,772,"TOP5",59
"62","Manchester United","2009-2010",86,49,4,695,221,828,"TOP5",53
"63","Arsenal","2009-2010",83,56,1,660,233,818,"TOP5",57
"64","Tottenham Hotspur","2009-2010",67,58,1,681,226,844,"TOP5",59
"65","Liverpool","2009-2010",61,55,5,642,189,958,NA,60
"66","Manchester City","2009-2010",73,49,2,526,195,802,"TOP5",51
"67","Aston Villa","2009-2010",52,59,2,497,158,880,NA,61
"68","Everton","2009-2010",60,57,2,589,194,768,NA,59
"69","Birmingham City","2009-2010",38,74,1,452,155,785,NA,75
"70","Blackburn Rovers","2009-2010",41,57,2,489,161,709,NA,59
"71","Fulham","2009-2010",39,46,1,463,144,745,NA,47
"72","Stoke City","2009-2010",34,63,5,402,113,724,NA,68
"73","Sunderland","2009-2010",48,77,9,444,159,890,NA,86
"74","Bolton Wanderers","2009-2010",42,74,5,558,163,912,NA,79
"75","Wigan Athletic","2009-2010",37,65,3,555,174,908,"BOT5",68
"76","Wolverhampton Wanderers","2009-2010",32,63,4,436,119,705,NA,67
"77","Burnley","2009-2010",42,57,2,459,153,686,"BOT5",59
"78","West Ham United","2009-2010",47,62,3,549,191,830,"BOT5",65
"79","Portsmouth","2009-2010",34,68,5,533,151,774,"BOT5",73
"80","Hull City","2009-2010",34,64,6,388,120,760,"BOT5",70
"81","Manchester United","2010-2011",78,56,3,618,212,693,"TOP5",59
"82","Chelsea","2010-2011",69,59,1,745,244,769,"TOP5",60
"83","Manchester City","2010-2011",60,71,5,546,177,826,"TOP5",76
"84","Arsenal","2010-2011",72,65,6,654,238,772,"TOP5",71
"85","Liverpool","2010-2011",59,63,2,582,205,908,NA,65
"86","Tottenham Hotspur","2010-2011",55,51,2,657,191,754,"TOP5",53
"87","Everton","2010-2011",51,55,5,580,181,768,NA,60
"88","Stoke City","2010-2011",46,68,2,482,143,716,NA,70
"89","Aston Villa","2010-2011",48,71,2,506,165,844,NA,73
"90","Bolton Wanderers","2010-2011",52,67,5,570,173,939,NA,72
"91","Sunderland","2010-2011",45,57,5,532,154,820,NA,62
"92","West Bromwich Albion","2010-2011",56,52,7,597,184,725,NA,59
"93","Blackburn Rovers","2010-2011",46,65,5,453,135,748,NA,70
"94","Fulham","2010-2011",49,52,1,547,172,799,NA,53
"95","Newcastle United","2010-2011",56,78,2,507,168,666,NA,80
"96","Wolverhampton Wanderers","2010-2011",46,62,2,459,139,677,"BOT5",64
"97","Blackpool","2010-2011",55,47,2,531,161,780,"BOT5",49
"98","Wigan Athletic","2010-2011",40,67,4,511,170,914,"BOT5",71
"99","Birmingham City","2010-2011",37,57,3,401,121,668,"BOT5",60
"100","West Ham United","2010-2011",43,59,1,572,174,783,"BOT5",60
"101","Manchester City","2011-2012",93,51,5,738,250,694,"TOP5",56
"102","Manchester United","2011-2012",89,51,1,646,243,803,"TOP5",52
"103","Arsenal","2011-2012",74,64,4,637,236,751,"TOP5",68
"104","Tottenham Hotspur","2011-2012",66,43,3,701,230,733,"TOP5",46
"105","Newcastle United","2011-2012",56,67,2,489,154,744,"TOP5",69
"106","Chelsea","2011-2012",65,74,4,671,224,698,NA,78
"107","Everton","2011-2012",50,60,2,520,164,624,NA,62
"108","Fulham","2011-2012",48,54,0,541,195,669,NA,54
"109","Liverpool","2011-2012",47,53,5,667,207,728,NA,58
"110","West Bromwich Albion","2011-2012",45,48,1,544,167,683,NA,49
"111","Norwich City","2011-2012",52,58,3,514,164,692,NA,61
"112","Swansea City","2011-2012",44,40,2,472,145,709,NA,42
"113","Stoke City","2011-2012",36,60,2,376,94,655,NA,62
"114","Sunderland","2011-2012",45,60,4,458,141,824,NA,64
"115","Wigan Athletic","2011-2012",42,67,3,519,162,729,NA,70
"116","Bolton Wanderers","2011-2012",46,50,5,495,163,732,"BOT5",55
"117","Queens Park Rangers","2011-2012",43,54,9,539,150,764,"BOT5",63
"118","Blackburn Rovers","2011-2012",48,66,5,453,143,690,"BOT5",71
"119","Aston Villa","2011-2012",37,70,2,438,138,774,"BOT5",72
"120","Wolverhampton Wanderers","2011-2012",40,64,4,473,152,619,"BOT5",68
"121","Manchester United","2012-2013",86,57,1,561,213,731,"TOP5",58
"122","Manchester City","2012-2013",66,62,3,660,231,683,"TOP5",65
"123","Chelsea","2012-2013",75,51,3,626,212,710,"TOP5",54
"124","Arsenal","2012-2013",72,42,5,597,205,748,"TOP5",47
"125","Tottenham Hotspur","2012-2013",66,55,2,681,241,745,"TOP5",57
"126","Everton","2012-2013",55,59,3,633,207,720,NA,62
"127","Liverpool","2012-2013",71,54,2,739,232,795,NA,56
"128","West Bromwich Albion","2012-2013",53,63,4,506,170,698,NA,67
"129","West Ham United","2012-2013",45,74,1,492,158,728,NA,75
"130","Fulham","2012-2013",50,48,3,460,160,680,NA,51
"131","Newcastle United","2012-2013",45,71,4,533,174,732,NA,75
"132","Swansea City","2012-2013",47,58,2,504,167,686,NA,60
"133","Aston Villa","2012-2013",47,72,3,438,141,741,NA,75
"134","Norwich City","2012-2013",41,60,1,413,134,676,NA,61
"135","Southampton","2012-2013",49,43,2,516,167,819,"BOT5",45
"136","Stoke City","2012-2013",34,78,4,390,114,728,NA,82
"137","Sunderland","2012-2013",41,62,3,417,139,784,"BOT5",65
"138","Wigan Athletic","2012-2013",47,66,2,500,170,716,"BOT5",68
"139","Reading","2012-2013",43,45,1,394,128,602,"BOT5",46
"140","Queens Park Rangers","2012-2013",30,59,3,500,146,818,"BOT5",62
"141","Manchester City","2013-2014",102,72,1,673,238,756,"TOP5",73
"142","Liverpool","2013-2014",101,54,1,651,258,848,"TOP5",55
"143","Chelsea","2013-2014",71,57,3,692,229,733,"TOP5",60
"144","Arsenal","2013-2014",68,53,4,523,213,714,"TOP5",57
"145","Everton","2013-2014",61,55,1,561,196,744,"TOP5",56
"146","Tottenham Hotspur","2013-2014",55,66,4,588,192,750,NA,70
"147","Manchester United","2013-2014",64,66,3,526,183,676,NA,69
"148","Newcastle United","2013-2014",43,53,6,579,182,736,NA,59
"149","Southampton","2013-2014",54,60,0,534,179,805,NA,60
"150","Crystal Palace","2013-2014",33,58,2,414,143,845,NA,60
"151","Stoke City","2013-2014",45,72,5,428,137,791,NA,77
"152","Swansea City","2013-2014",54,55,3,496,161,674,NA,58
"153","West Ham United","2013-2014",40,62,5,422,122,651,NA,67
"154","Aston Villa","2013-2014",39,78,0,431,135,747,NA,78
"155","Hull City","2013-2014",38,53,4,427,132,723,"BOT5",57
"156","Sunderland","2013-2014",41,69,7,491,138,702,NA,76
"157","Fulham","2013-2014",40,58,1,431,149,702,"BOT5",59
"158","Norwich City","2013-2014",28,62,2,467,148,675,"BOT5",64
"159","Cardiff City","2013-2014",32,49,1,418,124,619,"BOT5",50
"160","West Bromwich Albion","2013-2014",43,67,0,487,146,701,"BOT5",67
"161","Chelsea","2014-2015",73,73,4,564,210,759,"TOP5",77
"162","Manchester City","2014-2015",83,77,2,670,229,751,"TOP5",79
"163","Arsenal","2014-2015",71,68,2,610,227,739,"TOP5",70
"164","Manchester United","2014-2015",62,64,5,512,180,739,"TOP5",69
"165","Tottenham Hotspur","2014-2015",58,79,4,527,171,815,"TOP5",83
"166","Liverpool","2014-2015",52,66,3,590,192,798,NA,69
"167","Southampton","2014-2015",54,57,3,509,169,813,NA,60
"168","Swansea City","2014-2015",46,48,5,426,147,634,NA,53
"169","Stoke City","2014-2015",48,82,1,500,136,729,NA,83
"170","Crystal Palace","2014-2015",47,63,4,441,139,791,NA,67
"171","Everton","2014-2015",48,66,2,483,166,657,NA,68
"172","West Ham United","2014-2015",44,64,2,488,152,647,NA,66
"173","Leicester City","2014-2015",46,49,4,456,137,791,NA,53
"174","West Bromwich Albion","2014-2015",38,64,3,412,132,696,NA,67
"175","Aston Villa","2014-2015",31,70,7,418,125,623,"BOT5",77
"176","Newcastle United","2014-2015",40,65,7,468,143,824,NA,72
"177","Hull City","2014-2015",33,73,6,428,131,763,"BOT5",79
"178","Queens Park Rangers","2014-2015",42,75,3,534,150,781,"BOT5",78
"179","Burnley","2014-2015",28,64,2,430,125,615,"BOT5",66
"180","Sunderland","2014-2015",31,94,2,408,130,759,"BOT5",96
"181","Leicester City","2015-2016",68,48,3,522,179,869,"TOP5",51
"182","Arsenal","2015-2016",65,40,4,571,211,709,"TOP5",44
"183","Manchester City","2015-2016",71,61,0,615,210,729,"TOP5",61
"184","Manchester United","2015-2016",49,65,1,430,144,760,"TOP5",66
